21.757,9.956,0.000,-0.000,-0.000,0.017,0.000,0.000,0.000,0.123,0.026,0.442,-0.177,0.001,0.000,0.003,-0.001,-0.001,-0.000,0.000,0.005,0.000,-0.010
20.444,0.000,54.549,-0.000,-0.000,-0.000,-0.000,-0.000,0.090,0.000,0.420,0.000,-0.000,-0.151,0.000,-0.000,0.000,0.001,0.000,-0.000,-0.000,-0.022,0.000
16.122,-0.000,0.000,1.130,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
102.941,0.367,-0.098,-0.153,23.706,-0.043,0.178,-0.246,0.000,-0.030,-0.248,-0.045,0.020,0.040,0.070,-0.847,0.070,-0.009,0.011,0.062,0.033,-0.000,0.000
17.308,0.044,0.000,-0.000,-0.000,1.708,0.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,-0.098,0.000,-0.000,0.000,0.000,0.000,0.000
2.443,0.000,-0.000,-0.000,0.000,-0.000,1.806,-0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000
41.961,0.096,0.000,-0.000,-0.066,0.000,-0.000,30.928,0.000,0.000,-0.000,0.988,0.039,0.000,-0.000,0.013,-0.010,0.020,-0.843,0.000,0.000,0.010,-0.014
32.065,0.000,0.000,-0.000,0.697,0.000,-0.000,0.000,32.332,-0.000,-0.000,2.168,-0.000,0.004,0.006,-0.014,0.003,0.009,0.001,-0.354,0.004,-0.000,-0.066
3.607,0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,7.041,0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.013,0.000,0.000
77.420,-0.209,-0.354,-0.098,-0.255,0.072,-0.502,0.314,-0.034,0.000,45.388,0.135,0.124,0.006,0.159,0.054,0.126,-0.012,0.196,-0.000,0.077,-1.772,0.094
14.131,-0.051,0.023,0.081,0.085,0.298,-0.248,-0.430,-0.102,-0.000,-0.110,106.335,0.072,0.063,0.149,0.097,0.061,0.177,0.052,0.144,0.126,0.120,-3.774
